"iso","data_year","perurb"
"AFG",1950,0.0599999896802396
"AFG",1951,0.0620770941040958
"AFG",1952,0.0642241064249689
"AFG",1953,0.0664338648191799
"AFG",1954,0.0687173353805012
"AFG",1955,0.071073362318802
"AFG",1956,0.0735071788051715
"AFG",1957,0.076010387770014
"AFG",1958,0.0785953512439773
"AFG",1959,0.0812604526939723
"AFG",1960,0.0840115064430012
"AFG",1961,0.0868390415636314
"AFG",1962,0.0897564570781441
"AFG",1963,0.0927619327720692
"AFG",1964,0.0958617196505196
"AFG",1965,0.0990449784039989
"AFG",1966,0.102326450940183
"AFG",1967,0.105703953577829
"AFG",1968,0.109184196743486
"AFG",1969,0.112754628802181
"AFG",1970,0.116431662673512
"AFG",1971,0.120212387210349
"AFG",1972,0.124104115871605
"AFG",1973,0.128092268076465
"AFG",1974,0.132194909711375
"AFG",1975,0.136408497789486
"AFG",1976,0.140740569982054
"AFG",1977,0.145174783497856
"AFG",1978,0.149730686535928
"AFG",1979,0.154419260379831
"AFG",1980,0.159950091973579
"AFG",1981,0.165624300499297
"AFG",1982,0.171466813389706
"AFG",1983,0.177471649053709
"AFG",1984,0.183648782301821
"AFG",1985,0.189973563720768
"AFG",1986,0.196472799294477
"AFG",1987,0.20313870730688
"AFG",1988,0.20998106904772
"AFG",1989,0.210879899307236
"AFG",1990,0.211766091816927
"AFG",1991,0.212655067006925
"AFG",1992,0.213547934370014
"AFG",1993,0.214441057988424
"AFG",1994,0.215338187722176
"AFG",1995,0.21623796802499
"AFG",1996,0.217141793662574
"AFG",1997,0.218045812648025
"AFG",1998,0.218953785992037
"AFG",1999,0.219864473102932
"AFG",2000,0.220779131586947
"AFG",2001,0.221693997695272
"AFG",2002,0.222612836268808
"AFG",2003,0.223534416068849
"AFG",2004,0.225004217632927
"AFG",2005,0.227030507764452
"AFG",2006,0.229072526063541
"AFG",2007,0.23112736501078
"AFG",2008,0.233197947199518
"AFG",2009,0.235275679322602
"AFG",2010,0.23736903653685
"AFG",2011,0.23947521052743
"AFG",2012,0.241597066393354
"AFG",2013,0.243725830154387
"AFG",2014,0.245870232694162
"AFG",2015,0.248027284637224
"AFG",2016,0.250199994044327
"AFG",2017,0.252503561700296
"AFG",2018,0.254948921699881
"AFG",2019,0.257535090898825
"AFG",2020,0.260264153346079
"AFG",2021,0.263138230444095
"AFG",2022,0.266159473964905
"AFG",2023,0.269330120215884
"AFG",2024,0.272652331819187
"AFG",2025,0.276128327561314
"AFG",2026,0.279760281752308
"AFG",2027,0.283550322574138
"AFG",2028,0.287500552717193
"AFG",2029,0.291612927600906
"AFG",2030,0.295889328257909
"AFG",2031,0.300331420184637
"AFG",2032,0.304940695754362
"AFG",2033,0.309718404177701
"AFG",2034,0.314665455348698
"AFG",2035,0.319782311268171
"AFG",2036,0.325068944814918
"AFG",2037,0.330524667132087
"AFG",2038,0.336147778446161
"AFG",2039,0.341935283175132
"AFG",2040,0.347882043893919
"AFG",2041,0.353978901823065
"AFG",2042,0.36020468104427
"AFG",2043,0.366499973013691
"AFG",2044,0.372841183807964
"AFG",2045,0.379226422760379
"AFG",2046,0.385653766711193
"AFG",2047,0.392121242662577
"AFG",2048,0.398626791923335
"AFG",2049,0.405168339819738
"AFG",2050,0.411743741348639
"AGO",1950,0.0757566529456865
"AGO",1951,0.0782551923204459
"AGO",1952,0.0808323529639688
"AGO",1953,0.0834795190399939
"AGO",1954,0.0862090772330278
"AGO",1955,0.089019092971931
"AGO",1956,0.0919155291449871
"AGO",1957,0.0948880852091507
"AGO",1958,0.097950804358114
"AGO",1959,0.101101199813104
"AGO",1960,0.104345739690834
"AGO",1961,0.10797747410753
"AGO",1962,0.112040941954064
"AGO",1963,0.116237546645995
"AGO",1964,0.120576119328031
"AGO",1965,0.125041046707566
"AGO",1966,0.129653378807785
"AGO",1967,0.134409925494876
"AGO",1968,0.139319760550269
"AGO",1969,0.14436476384662
"AGO",1970,0.149568183961321
"AGO",1971,0.156317735026603
"AGO",1972,0.16455000920388
"AGO",1973,0.173102765060539
"AGO",1974,0.18201571831512
"AGO",1975,0.191281355926908
"AGO",1976,0.200916415991551
"AGO",1977,0.210882244568557
"AGO",1978,0.221220090812637
"AGO",1979,0.231915654663108
"AGO",1980,0.242982564194448
"AGO",1981,0.254370730640368
"AGO",1982,0.26612142403025
"AGO",1983,0.278212430230008
"AGO",1984,0.290652593219575
"AGO",1985,0.303379607696906
"AGO",1986,0.316433503521689
"AGO",1987,0.329783171519882
"AGO",1988,0.343432081798386
"AGO",1989,0.357306021685369
"AGO",1990,0.371443036202533
"AGO",1991,0.385803627147478
"AGO",1992,0.400386016874166
"AGO",1993,0.415106118936708
"AGO",1994,0.429999968933556
"AGO",1995,0.441690423305245
"AGO",1996,0.453462009044369
"AGO",1997,0.465253286487669
"AGO",1998,0.477099927903956
"AGO",1999,0.488972314703551
"AGO",2000,0.500873551875795
"AGO",2001,0.512741071122598
"AGO",2002,0.524610603671649
"AGO",2003,0.536452400651769
"AGO",2004,0.5482694110311
"AGO",2005,0.560000024549238
"AGO",2006,0.567637573418626
"AGO",2007,0.575243168449935
"AGO",2008,0.582823669013237
"AGO",2009,0.590344542176391
"AGO",2010,0.597833697795609
"AGO",2011,0.605277439022502
"AGO",2012,0.612682861713849
"AGO",2013,0.620016393354345
"AGO",2014,0.627305522868735
"AGO",2015,0.634464678856849
"AGO",2016,0.641491895646143
"AGO",2017,0.648385504351251
"AGO",2018,0.655144072771336
"AGO",2019,0.661766301955928
"AGO",2020,0.668251288001752
